Star system,Government,Allegiance,Power,Population,Fac,Sta,Inf,Updated
Col 285 Sector GG-X d1-32︎,Corporate,Independent,,64008,4,1.0,60.0%,6 days ago
Col 285 Sector GG-X d1-42︎,Democracy,Independent,,80144,4,1.0,18.6%,35 days ago
Col 285 Sector GG-X d1-52︎,Corporate,Independent,,197356186,4,16.0,77.1%,5 days ago
Col 285 Sector GG-X d1-58︎,Corporate,Independent,,46058,4,1.0,60.0%,22 days ago
Col 285 Sector GG-X d1-84︎,Patronage,Independent,,190211,4,3.0,19.9%,1 day ago
Col 285 Sector GG-X d1-87︎,Corporate,Independent,,1200064,4,9.0,62.8%,7 days ago
Col 285 Sector GG-X d1-89︎,Corporate,Independent,,175294,4,1.0,53.7%,17 days ago
Col 285 Sector GG-X d1-91︎,Corporate,Independent,,89919,4,,60.5%,28 days ago
Col 285 Sector GG-X d1-98︎,Corporate,Independent,,181542,4,3.0,60.0%,3 days ago
Col 285 Sector GG-X d1-99︎,Patronage,Independent,,83852,4,,19.2%,11 days ago
Col 285 Sector GK-O b7-6︎,Patronage,Independent,,34006410,4,9.0,12.7%,5 days ago
Col 285 Sector GL-L b9-0︎,Corporate,Independent,,1972371,4,21.0,20.5%,1 day ago
Col 285 Sector GV-X c1-24︎,Corporate,Independent,,59311,4,,60.0%,2 hours ago
Col 285 Sector HG-W c2-2︎,Corporate,Independent,,40757,4,1.0,54.5%,1 hour ago
Col 285 Sector HG-W c2-8︎,Corporate,Independent,,54746,4,1.0,52.2%,4 days ago
Col 285 Sector HI-Q a7-0︎,Corporate,Independent,,41101,4,,60.0%,36 days ago
Col 285 Sector HK-O b7-6︎,Patronage,Independent,,86832,4,1.0,20.0%,11 days ago
Col 285 Sector HQ-X c1-7︎,Corporate,Federation,,2116092,4,10.0,18.9%,6 minutes ago
Col 285 Sector HV-M b8-4︎,Patronage,Independent,,82000,3,1.0,21.7%,1 day ago
Col 285 Sector JB-W c2-16︎,Corporate,Independent,,690317,4,1.0,55.7%,19 days ago
Col 285 Sector JB-W c2-2︎,Corporate,Independent,,152265,4,1.0,59.6%,21 days ago
Col 285 Sector JB-W c2-22︎,Democracy,Federation,,1200185,4,23.0,25.6%,7 hours ago
Col 285 Sector KB-W c2-18︎,Corporate,Independent,,59327,4,1.0,57.1%,9 days ago
Col 285 Sector KB-W c2-2︎,Corporate,Independent,,48048,4,,60.0%,41 days ago
Col 285 Sector KM-V d2-112︎,Patronage,Independent,,47839,4,,21.3%,1 day ago
Col 285 Sector KM-V d2-115︎,Patronage,Independent,,56538,4,4.0,19.9%,3 days ago
Col 285 Sector KM-V d2-118︎,Corporate,Independent,,82658,4,1.0,20.0%,12 days ago
Col 285 Sector KM-V d2-119︎,Corporate,Independent,,87758,4,1.0,20.0%,11 days ago
Col 285 Sector KM-V d2-55︎,Corporate,Independent,,587637,4,1.0,19.0%,10 days ago
Col 285 Sector KM-V d2-79︎,Corporate,Independent,,1741565,4,15.0,18.0%,9 days ago
Col 285 Sector KO-O a8-1︎,Corporate,Independent,,65989,4,1.0,59.0%,2 days ago
Col 285 Sector KV-V b3-1︎,Corporate,Independent,,56336,4,6.0,59.5%,34 minutes ago
Col 285 Sector LB-W c2-13︎,Democracy,Independent,,151268,4,4.0,19.5%,6 days ago
Col 285 Sector LB-W c2-20︎,Corporate,Independent,,137672,4,1.0,57.7%,17 days ago
Col 285 Sector LQ-M b8-3︎,Patronage,Independent,,4802896,4,14.0,20.0%,1 day ago
Col 285 Sector LQ-M b8-6︎,Patronage,Independent,,68991,4,2.0,21.0%,1 day ago
Col 285 Sector LQ-V b3-2︎,Corporate,Federation,,70031,4,3.0,34.8%,22 days ago
Col 285 Sector LQ-V b3-3︎,Corporate,Independent,,147527,4,2.0,47.3%,10 days ago
Col 285 Sector MM-U c3-0︎,Cooperative,Independent,,1040591,3,16.0,32.5%,2 days ago
Col 285 Sector MM-U c3-1︎,Corporate,Independent,,184945,4,1.0,56.4%,9 days ago
Col 285 Sector MM-U c3-12︎,Corporate,Independent,,88260,4,2.0,59.4%,13 days ago
Col 285 Sector MM-U c3-16︎,Corporate,Independent,,101763,4,1.0,55.8%,3 days ago
Col 285 Sector MM-U c3-2︎,Cooperative,Independent,,5792579,4,5.0,35.4%,3 days ago
Col 285 Sector MM-U c3-22︎,Corporate,Independent,,79881,4,2.0,60.0%,6 days ago
Col 285 Sector MM-U c3-3︎,Corporate,Independent,,76075,4,2.0,57.6%,51 days ago
Col 285 Sector MM-U c3-4︎,Corporate,Independent,,14632866,4,1.0,60.0%,3 days ago
Col 285 Sector MM-U c3-5︎,Corporate,Independent,,212367,4,3.0,60.2%,4 days ago
Col 285 Sector MM-U c3-7︎,Corporate,Independent,,333027,4,2.0,59.5%,3 days ago
Col 285 Sector MM-U c3-8︎,Corporate,Independent,,177991,4,2.0,55.7%,8 days ago
Col 285 Sector NB-U b4-0︎,Corporate,Independent,,757676,4,1.0,57.8%,6 days ago
Col 285 Sector NL-V b3-2︎,Corporate,Federation,,4761484,3,1.0,24.6%,9 days ago
Col 285 Sector NL-V b3-5︎,Corporate,Independent,,445088,4,1.0,42.9%,7 days ago
Col 285 Sector NM-U c3-10︎,Corporate,Independent,,162043,4,,60.7%,3 days ago
Col 285 Sector NZ-M a9-0︎,Corporate,Independent,,40097,4,1.0,53.1%,92 days ago
Col 285 Sector OH-U c3-10︎,Patronage,Independent,,169082,4,1.0,22.9%,12 days ago
Col 285 Sector OH-U c3-14︎,Patronage,Independent,,88872,4,1.0,17.7%,20 days ago
Col 285 Sector OH-U c3-23︎,Patronage,Independent,,79382,4,1.0,18.7%,14 days ago
Col 285 Sector OW-K b9-3︎,Patronage,Independent,,2433594,4,2.0,19.9%,8 days ago
Col 285 Sector OW-K b9-4︎,Patronage,Independent,,240774,4,1.0,20.0%,8 days ago
Col 285 Sector OW-K b9-7︎,Patronage,Independent,,57265,4,3.0,20.0%,10 days ago
Col 285 Sector OX-S c4-12︎,Corporate,Independent,,82413,4,3.0,20.0%,49 days ago
Col 285 Sector OX-S c4-16︎,Corporate,Independent,,5970522,4,2.0,19.9%,8 days ago
Col 285 Sector PH-U c3-14︎,Corporate,Independent,,166137,4,1.0,64.4%,22 days ago
Col 285 Sector PH-U c3-16︎,Corporate,Independent,,46152,4,2.0,60.0%,50 days ago
Col 285 Sector PH-U c3-20︎,Patronage,Independent,,104599,4,,20.0%,9 days ago
Col 285 Sector PH-U c3-23︎,Patronage,Independent,,119775,4,1.0,20.0%,69 days ago
Col 285 Sector PH-U c3-5︎,Patronage,Independent,,132169,4,15.0,19.1%,1 day ago
Col 285 Sector PM-S b5-3︎,Corporate,Independent,,139893,4,1.0,58.0%,5 days ago
Col 285 Sector PW-T b4-0︎,Corporate,Independent,,51899778,4,8.0,66.1%,3 days ago
Col 285 Sector PW-T b4-2︎,Corporate,Independent,,31871453,4,10.0,57.3%,2 days ago
Col 285 Sector PW-T b4-3︎,Corporate,Federation,,909714,4,1.0,35.0%,1 day ago
Col 285 Sector QB-U b4-2︎,Corporate,Independent,,86305,4,2.0,62.0%,9 days ago
Col 285 Sector QS-S c4-11︎,Corporate,Independent,,177674,4,1.0,60.0%,8 days ago
Col 285 Sector QS-S c4-12︎,Corporate,Independent,,31483159,4,12.0,57.1%,3 days ago
Col 285 Sector QS-S c4-2︎,Corporate,Federation,,219317,3,4.0,11.5%,2 days ago
Col 285 Sector QS-S c4-7︎,Corporate,Independent,,52311,4,,20.0%,7 days ago
Col 285 Sector QS-S c4-9︎,Corporate,Independent,,688456,4,3.0,19.4%,9 days ago
Col 285 Sector TN-S c4-27︎,Patronage,Independent,,548152,4,2.0,22.3%,11 days ago
Col 285 Sector TN-S c4-28︎,,Independent,,0,4,2.0,20.0%,7 hours ago
Col 285 Sector TN-S c4-5︎,Patronage,Independent,,152996,4,1.0,20.4%,13 days ago
Col 285 Sector TR-T b4-0︎,Corporate,Independent,,36254043,4,1.0,60.4%,15 hours ago
Col 285 Sector UR-T b4-2︎,Democracy,Independent,,59011,4,5.0,19.9%,18 days ago
Col 285 Sector US-Q b6-1︎,Democracy,Independent,,44442,4,1.0,12.5%,4 days ago
Col 285 Sector WN-Q b6-1︎,Corporate,Independent,,195733,4,2.0,60.0%,1 day ago
Col 285 Sector WX-R b5-3︎,Corporate,Independent,,63122,4,,62.0%,7 days ago
Col 285 Sector XL-J a11-2︎,Corporate,Independent,,3986239,4,,62.7%,15 days ago
Col 285 Sector XY-O b7-0︎,Feudal,Independent,,194105,4,1.0,20.3%,3 days ago
Col 285 Sector YN-Q b6-2︎,Corporate,Independent,,321868,4,6.0,59.3%,22 days ago
Col 285 Sector YN-Q b6-4︎,Corporate,Independent,,89961,4,1.0,59.9%,3 days ago
Col 285 Sector YX-R b5-1︎,Democracy,Independent,,55846,4,3.0,19.9%,12 days ago
Col 285 Sector YX-R b5-3︎,Democracy,Independent,,160457,3,3.0,16.8%,1 day ago
Col 285 Sector YX-R b5-5︎,Democracy,Independent,,74456,4,2.0,30.6%,10 days ago
Col 285 Sector YY-O b7-2︎,Democracy,Independent,,78385,4,3.0,11.6%,1 day ago
Col 285 Sector ZX-R b5-0︎,Democracy,Independent,,58480289,3,28.0,9.9%,1 day ago
Cuic︎,Anarchy,Independent,,15150,6,12.0,9.1%,1 day ago
Drevelli︎,Corporate,Independent,,44080,7,32.0,11.6%,20 hours ago
Gerong︎,Anarchy,Independent,,2581941,7,31.0,5.2%,1 day ago
Giryamba︎,Corporate,Independent,,105669,6,51.0,15.2%,6 days ago
HIP 26625︎,Communism,Independent,,65906,4,,13.0%,2 days ago
HIP 26729︎,Communism,Independent,,84063,4,1.0,13.4%,31 days ago
HIP 27431︎,Corporate,Independent,,91136,4,,61.4%,1 day ago
HIP 27933︎,Corporate,Independent,,1094429,4,1.0,54.0%,8 days ago
HIP 29200︎,Corporate,Independent,,254900,4,13.0,62.0%,1 hour ago
HIP 29665︎,Corporate,Independent,,21226,4,3.0,60.0%,4 days ago
HIP 29991︎,Corporate,Independent,,360386,3,2.0,64.9%,23 days ago
HIP 30749︎,Corporate,Independent,,351373,4,9.0,61.4%,7 hours ago
HIP 30838︎,Patronage,Independent,,86087,4,,20.3%,12 days ago
HIP 31326︎,Patronage,Independent,,108108,4,4.0,21.7%,4 days ago
HIP 31849︎,Anarchy,Independent,,84985,4,5.0,18.8%,1 day ago
HIP 32608︎,Patronage,Independent,,1841910,4,1.0,20.0%,1 day ago
HIP 33227︎,Corporate,Independent,,96805,4,1.0,55.6%,8 days ago
HIP 33275︎,Anarchy,Independent,,680536,6,2.0,10.6%,3 days ago
HIP 33303︎,Patronage,Independent,,74618,4,10.0,20.6%,1 day ago
HIP 33608︎,Patronage,Independent,,87252,4,1.0,19.5%,5 days ago
HIP 33941︎,Corporate,Independent,,5468440,4,11.0,66.6%,1 day ago
HIP 34214︎,Corporate,Independent,,182047,4,1.0,55.6%,2 days ago
HIP 34633︎,Corporate,Independent,,2419393,4,,59.9%,3 days ago
HIP 34759︎,Corporate,Independent,,318483,4,5.0,56.6%,4 days ago
HIP 35185︎,Corporate,Independent,,150481,7,59.0,6.0%,2 days ago
HIP 35219︎,Corporate,Independent,,126585,4,7.0,58.3%,5 days ago
HR 2324︎,Patronage,Independent,,78635,4,2.0,20.1%,31 days ago
HR 2375︎,Corporate,Independent,,2584941,4,2.0,61.8%,7 days ago
HR 2391︎,Corporate,Independent,,10791399,4,1.0,47.8%,8 days ago
HR 2551︎,Corporate,Independent,,5811,4,2.0,63.3%,7 hours ago
HR 2606︎,Corporate,Independent,,65240596,3,20.0,45.6%,1 day ago
Hyades Sector AF-Y b1-4︎,Corporate,Independent,,124013,4,1.0,59.3%,1 day ago
Hyades Sector AF-Z c20︎,Corporate,Independent,,138439,4,2.0,60.0%,13 days ago
Hyades Sector AV-Y d106︎,Corporate,Independent,,32759836,4,3.0,58.1%,13 days ago
Hyades Sector AV-Y d109︎,Corporate,Independent,,27825,4,1.0,57.3%,15 hours ago
Hyades Sector AV-Y d36︎,Corporate,Independent,,104577,4,3.0,57.4%,11 hours ago
Hyades Sector AV-Y d65︎,Corporate,Independent,,84086,5,3.0,53.8%,23 days ago
Hyades Sector AV-Y d70︎,Corporate,Independent,,4371051,4,1.0,56.0%,8 days ago
Hyades Sector BA-Z c2︎,Democracy,Federation,,227976,4,8.0,34.1%,17 hours ago
Hyades Sector BA-Z c3︎,Corporate,Independent,,36105486,4,7.0,53.9%,15 hours ago
Hyades Sector BA-Z c4︎,Democracy,Federation,,2167639,4,5.0,34.4%,1 day ago
Hyades Sector BA-Z c5︎,Corporate,Independent,,1069326,3,15.0,47.0%,15 hours ago
Hyades Sector BA-Z c8︎,Corporate,Independent,,191016,4,1.0,60.0%,11 days ago
Hyades Sector BF-Y b1-0︎,Corporate,Independent,,12234398,4,8.0,61.6%,88 days ago
Hyades Sector BF-Y b1-1︎,Corporate,Independent,,101192,4,4.0,59.1%,1 day ago
Hyades Sector BF-Y b1-3︎,Corporate,Independent,,146919,3,1.0,64.9%,17 days ago
Hyades Sector BF-Y b1-4︎,Corporate,Independent,,6923299,4,8.0,58.0%,16 days ago
Hyades Sector BF-Y b1-5︎,Corporate,Independent,,126459,4,,62.2%,11 days ago
Hyades Sector BQ-X c1-11︎,Feudal,Independent,,5206877,4,2.0,22.1%,3 days ago
Hyades Sector BQ-X c1-12︎,Feudal,Independent,,180377,4,1.0,18.9%,2 days ago
Hyades Sector BQ-X c1-19︎,Corporate,Independent,,6162159,4,15.0,55.7%,2 days ago
Hyades Sector BQ-X c1-21︎,Anarchy,Independent,,403130,4,1.0,14.3%,20 hours ago
Hyades Sector BV-Y d45︎,Corporate,Independent,,821504,4,13.0,62.0%,37 days ago
Hyades Sector BV-Y d60︎,Corporate,Independent,,1932874,4,1.0,59.6%,7 days ago
Hyades Sector BV-Y d61︎,Corporate,Independent,,1132431,4,2.0,60.6%,2 days ago
Hyades Sector BV-Y d95︎,Corporate,Independent,,163814,4,,58.3%,6 days ago
Hyades Sector BV-Y d96︎,Corporate,Independent,,190627,3,3.0,63.2%,25 days ago
Hyades Sector BV-Y d97︎,Corporate,Independent,,25295,4,2.0,60.0%,27 days ago
Hyades Sector CA-Z c12︎,Corporate,Independent,,6279537,4,2.0,60.4%,5 days ago
Hyades Sector CQ-X c1-6︎,Corporate,Independent,,96044,4,1.0,56.8%,13 days ago
Hyades Sector DF-W a3-0︎,Corporate,Independent,,69507,4,2.0,58.3%,52 days ago
Hyades Sector DF-W a3-1︎,Corporate,Independent,,197634,4,2.0,58.2%,23 days ago
Hyades Sector DF-W a3-2︎,Corporate,Independent,,152207,4,1.0,57.2%,41 days ago
Hyades Sector DG-V b3-4︎,Feudal,Independent,,82907,4,2.0,21.6%,3 days ago
Hyades Sector DL-X c1-10︎,Corporate,Independent,,448307,4,3.0,60.0%,7 hours ago
Hyades Sector DL-X c1-13︎,Corporate,Independent,,92320,4,1.0,55.2%,2 days ago
Hyades Sector DL-X c1-2︎,Corporate,Independent,,116268,4,4.0,54.5%,1 day ago
Hyades Sector DL-X c1-21︎,Corporate,Independent,,3126532,4,2.0,60.0%,8 days ago
Hyades Sector DL-X c1-6︎,Corporate,Independent,,999742,4,2.0,60.6%,2 days ago
Hyades Sector DL-X c1-7︎,Corporate,Independent,,1226646,4,2.0,68.0%,7 hours ago
Hyades Sector DL-X c1-8︎,Corporate,Independent,,859339,4,1.0,59.9%,6 days ago
Hyades Sector DQ-W b2-2︎,Corporate,Independent,,1095290,4,1.0,60.2%,7 days ago
Hyades Sector DQ-W b2-3︎,Corporate,Independent,,82225,4,1.0,60.0%,19 days ago
Hyades Sector DQ-W b2-7︎,Corporate,Independent,,98510,4,2.0,62.9%,7 hours ago
Hyades Sector EB-X d1-112︎,Confederacy,Independent,,32010,6,1.0,4.0%,1 day ago
Hyades Sector EB-X d1-54︎,Corporate,Independent,,183578,7,2.0,29.8%,22 hours ago
Hyades Sector EL-X c1-11︎,Patronage,Independent,,1586039,4,14.0,16.6%,2 days ago
Hyades Sector EQ-W b2-0︎,Corporate,Independent,,5595889,4,2.0,59.5%,11 days ago
Hyades Sector EQ-W b2-1︎,Corporate,Independent,,288327,4,2.0,56.3%,2 days ago
Hyades Sector EW-V c2-5︎,Corporate,Independent,,27499,4,2.0,60.0%,4 days ago
Hyades Sector FB-V b3-1︎,Corporate,Independent,,126461,4,8.0,60.0%,6 days ago
Hyades Sector FB-V b3-3︎,Corporate,Independent,,89689,4,5.0,55.4%,18 days ago
Hyades Sector FB-V b3-4︎,Corporate,Independent,,16099419,4,8.0,65.6%,5 days ago
Hyades Sector FB-V b3-5︎,Democracy,Independent,,39525403,4,29.0,20.3%,1 day ago
Hyades Sector FB-X d1-64︎,Patronage,Independent,,212142,4,2.0,20.8%,1 day ago
Hyades Sector FB-X d1-65︎,Patronage,Independent,,119770,4,8.0,20.6%,1 day ago
Hyades Sector FB-X d1-66︎,Patronage,Independent,,2248249,4,5.0,20.7%,19 hours ago
Hyades Sector FB-X d1-67︎,Patronage,Independent,,167334,4,,20.0%,1 day ago
Hyades Sector FB-X d1-85︎,Patronage,Independent,,1093438,4,3.0,23.7%,1 day ago
Hyades Sector FB-X d1-88︎,Patronage,Independent,,73304,4,2.0,19.9%,2 days ago
Hyades Sector FB-X d1-90︎,Patronage,Independent,,26475492,3,18.0,11.3%,2 hours ago
Hyades Sector FL-W b2-1︎,Corporate,Independent,,77173,4,2.0,60.0%,37 days ago
Hyades Sector FL-W b2-8︎,Corporate,Independent,,102080,4,1.0,56.4%,7 days ago
Hyades Sector FW-V c2-20︎,Prison Colony,Independent,,73781,4,4.0,13.2%,2 days ago
Hyades Sector FW-V c2-8︎,Prison Colony,Independent,,102128,5,2.0,13.1%,8 days ago
Hyades Sector GB-V b3-2︎,Corporate,Independent,,54308,4,,60.8%,84 days ago
Hyades Sector GB-V b3-3︎,Corporate,Independent,,3054548,4,3.0,59.7%,11 days ago
Hyades Sector GB-V b3-5︎,Corporate,Independent,,1082798,4,3.0,48.3%,18 hours ago
Hyades Sector GF-W a3-4︎,Corporate,Independent,,81863,4,2.0,60.0%,8 days ago
Hyades Sector GL-W b2-0︎,Corporate,Independent,,60335,4,1.0,60.0%,26 days ago
Hyades Sector GL-W b2-3︎,Corporate,Independent,,175798,4,1.0,59.3%,2 days ago
Hyades Sector GL-W b2-4︎,,Independent,,0,1,1.0,100.0%,97 days ago
Hyades Sector GL-W b2-5︎,Corporate,Independent,,65932,4,1.0,59.1%,44 days ago
Hyades Sector GL-W b2-6︎,Democracy,Independent,,124207847,4,16.0,40.2%,2 days ago
Hyades Sector GV-X b1-3︎,Corporate,Independent,,14374,4,1.0,60.0%,2 days ago
Hyades Sector GV-X b1-4︎,Corporate,Independent,,728174,4,6.0,57.0%,23 days ago
Hyades Sector GV-X b1-6︎,Corporate,Independent,,60332,4,1.0,60.0%,7 days ago
Hyades Sector GW-V c2-14︎,Corporate,Independent,,192140,4,1.0,17.8%,2 days ago
Hyades Sector GW-V c2-17︎,Corporate,Independent,,18320994,4,17.0,65.5%,11 hours ago
Hyades Sector GW-V c2-18︎,Corporate,Independent,,1333007,4,7.0,53.6%,3 days ago
Hyades Sector GW-V c2-19︎,Patronage,Independent,,35926730,4,1.0,15.1%,20 hours ago
Hyades Sector GW-V c2-5︎,Corporate,Federation,,31012643,3,13.0,10.9%,5 days ago
Hyades Sector HM-T b4-1︎,Feudal,Independent,,104660,4,3.0,20.0%,2 days ago
Hyades Sector HR-V c2-10︎,Confederacy,Federation,,194135,4,2.0,20.5%,5 days ago
Hyades Sector HR-V c2-14︎,Patronage,Independent,,816843,4,1.0,19.8%,12 hours ago
Hyades Sector HR-V c2-15︎,Patronage,Independent,,1177304,4,4.0,19.0%,1 day ago
Hyades Sector HR-V c2-16︎,Anarchy,Independent,,168979,4,1.0,20.0%,2 hours ago
Hyades Sector HR-V c2-20︎,Confederacy,Federation,,55270,4,2.0,19.9%,1 day ago
Hyades Sector HR-V c2-9︎,Cooperative,Independent,,50299,6,5.0,13.5%,5 days ago
Hyades Sector HW-U b3-4︎,Corporate,Independent,,224491,4,2.0,61.5%,29 days ago
Hyades Sector HW-U b3-6︎,Corporate,Independent,,109297,4,2.0,62.8%,2 hours ago
Hyades Sector IH-T b4-5︎,Confederacy,Federation,,71647,4,1.0,19.6%,16 hours ago
Hyades Sector IR-U b3-1︎,Corporate,Independent,,182795,4,1.0,59.6%,7 days ago
Hyades Sector IR-U b3-2︎,Corporate,Independent,,97420,4,2.0,55.8%,15 days ago
Hyades Sector IR-U b3-3︎,Corporate,Independent,,90233,4,1.0,59.2%,4 days ago
Hyades Sector IR-U b3-6︎,Corporate,Independent,,23504735,4,14.0,74.6%,1 day ago
Hyades Sector IR-V c2-13︎,Patronage,Independent,,90355,4,2.0,22.2%,16 days ago
Hyades Sector IR-V c2-16︎,Patronage,Independent,,1097826,3,12.0,19.1%,19 hours ago
Hyades Sector IR-V c2-22︎,Patronage,Independent,,57909,4,1.0,19.2%,23 hours ago
Hyades Sector IR-V c2-28︎,Patronage,Independent,,349353,4,3.0,24.8%,23 hours ago
Hyades Sector IR-V c2-3︎,Patronage,Independent,,55053,4,2.0,24.5%,2 days ago
Hyades Sector IR-V c2-8︎,Patronage,Independent,,2170016,4,2.0,20.0%,10 hours ago
Hyades Sector JH-T b4-0︎,Corporate,Independent,,1152378,4,5.0,59.2%,4 days ago
Hyades Sector JH-T b4-3︎,Anarchy,Independent,,200083,4,1.0,12.2%,20 hours ago
Hyades Sector JH-T b4-5︎,Anarchy,Independent,,1133880,4,4.0,13.8%,5 days ago
Hyades Sector JW-U b3-3︎,Patronage,Independent,,47347,4,1.0,20.0%,3 days ago
Hyades Sector KB-W b2-0︎,Corporate,Independent,,7783994,4,20.0,22.4%,5 minutes ago
Hyades Sector KC-T b4-2︎,Confederacy,Federation,,101638,4,2.0,19.9%,20 hours ago
Hyades Sector KC-T b4-3︎,Confederacy,Federation,,37104389,4,7.0,14.7%,2 hours ago
Hyades Sector KC-T b4-4︎,Corporate,Independent,,23139885,3,6.0,72.4%,7 days ago
Hyades Sector KC-T b4-5︎,Cooperative,Independent,,12965902,4,10.0,20.8%,1 day ago
Hyades Sector KH-T b4-3︎,Corporate,Independent,,33545840,5,20.0,13.4%,20 hours ago
Hyades Sector LC-T b4-0︎,Corporate,Independent,,451659,4,4.0,39.9%,1 day ago
Hyades Sector LC-T b4-2︎,Corporate,Independent,,84780,4,1.0,60.1%,5 days ago
Hyades Sector LC-T b4-3︎,Patronage,Independent,,158211,4,7.0,19.8%,17 hours ago
Hyades Sector LC-T b4-5︎,Patronage,Independent,,654098,4,1.0,19.7%,7 days ago
Hyades Sector LR-U b3-6︎,Patronage,Independent,,64048,4,2.0,25.3%,26 days ago
Hyades Sector MC-T b4-0︎,Patronage,Independent,,85673,4,2.0,20.4%,1 day ago
Hyades Sector MC-T b4-1︎,Patronage,Independent,,29658270,4,4.0,18.9%,2 days ago
Hyades Sector MC-T b4-2︎,Democracy,Alliance,,10448092,3,26.0,7.3%,18 hours ago
Hyades Sector MC-T b4-3︎,Patronage,Independent,,207585,3,3.0,22.5%,10 hours ago
Hyades Sector MC-T b4-4︎,Patronage,Independent,,212014,4,5.0,21.3%,2 days ago
Hyades Sector MC-T b4-5︎,Patronage,Independent,,110523,3,6.0,22.8%,20 hours ago
Hyades Sector MC-T b4-6︎,Patronage,Independent,,99836,4,1.0,22.5%,18 hours ago
Hyades Sector MR-S a5-2︎,Corporate,Independent,,91593,4,2.0,60.0%,12 days ago
